"","Timestamp","nascimento","genero","escolaridade","altura","peso","horas_sono","exercicios_fisicos","acucar","origem_animal","estudante","turno","horas_estudo","desempenho_estudo","empregado","tipo_trabalhador","desempenho_trabalho","cansado","vezes_doente","foi_medico","medicacao","doador","doador_sentiu_mal","doador_familia"
"68","2019/04/08 10:15:39 AM GMT-3","2019-04-08","Feminino","Ensino Médio completo",1.57,54,"6 a 8 horas","2","Alguns dias na semana","Todos os dias, em todas as refeições","Não","",NA,"","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Não","",""
"69","2019/04/08 10:36:02 AM GMT-3","2019-04-08","Feminino","Ensino Médio completo",1.62,55,"6 a 8 horas","5","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Não","","","Apenas quando durmo pouco","3 ou mais","Não, em nenhuma","","Sim","Sim","Não"
"70","2019/04/08 11:54:23 AM GMT-3","1989-03-01","Masculino","Ensino Superior incompleto",1.76,115,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Manhã",1,"Quase sempre nota C (C é equivalente ao intervalo de 6 a 7,5)","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","Nenhuma","","","Não","",""
"71","2019/04/08 12:08:33 PM GMT-3","2019-04-07","Feminino","Ensino Superior completo",1.57,57,"Menos de 6 horas","4","Raramente","Todos os dias, em todas as refeições","Não","",NA,"","Sim","Voluntário(a)","Excelente, dou o máximo de mim","Apenas quando durmo pouco","3 ou mais","Sim, em algumas","Sim","Sim","Não",""
"72","2019/04/08 12:14:00 PM GMT-3","2019-06-23","Masculino","Ensino Superior completo",1.6,84,"6 a 8 horas","Nenhuma","Raramente","Raramente","Não","",NA,"","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","Nenhuma","","","Sim","Sim","Não sei"
"73","2019/04/08 12:14:02 PM GMT-3","1975-04-06","Feminino","Ensino Superior incompleto",1.7,69,"6 a 8 horas","Nenhuma","Todos os dias, em 1 ou 2 refeições","Alguns dias na semana","Não","",NA,"","Sim","Assalariado(a)","Bom","Raramente","Nenhuma","","","Sim","Não",""
"74","2019/04/08 12:23:06 PM GMT-3","2019-02-04","Masculino","Ensino Superior completo",1.83,80,"Mais de 8 horas","4","Todos os dias, em 1 ou 2 refeições","Todos os dias, em todas as refeições","Não","",NA,"","Sim","Profissional liberal","Bom","Raramente","3 ou mais","","","Sim","Não",""
"75","2019/04/08 12:29:18 PM GMT-3","1989-12-21","Feminino","Ensino Superior completo",1.62,68,"Menos de 6 horas","3","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Noite",2,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Não","",""
"76","2019/04/08 12:35:42 PM GMT-3","1976-06-22","Feminino","Ensino Superior completo",1.47,79,"6 a 8 horas","Nenhuma","Raramente","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Assalariado(a)","Regular, posso performar melhor","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Não","Sim","Sim","Não"
"77","2019/04/08 12:41:56 PM GMT-3","1987-07-03","Feminino","Ensino Superior completo",1.66,67,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Assalariado(a)","Bom","Sempre, independente do quanto eu durmo","1 a 2","Não, em nenhuma","","Não","",""
"78","2019/04/08 12:49:11 PM GMT-3","1978-01-25","Masculino","Ensino Superior completo",1.82,97,"6 a 8 horas","1","Raramente","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Profissional liberal","Ruim, não estou motivado(a)","Sempre, independente do quanto eu durmo","1 a 2","Não, em nenhuma","","Não","",""
"79","2019/04/08 12:55:31 PM GMT-3","1991-06-01","Feminino","Ensino Superior completo",1.7,65,"Mais de 8 horas","1","Todos os dias, em 1 ou 2 refeições","Alguns dias na semana","Não","",NA,"","Não","","","Sempre, independente do quanto eu durmo","1 a 2","Sim, em algumas","Sim","Sim","Não",""
"80","2019/04/08 12:57:12 PM GMT-3","1993-03-15","Masculino","Ensino Superior completo",1.75,117,"6 a 8 horas","5","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Mais de um turno",4,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Sim","Assalariado(a)","Bom","Sempre, independente do quanto eu durmo","Nenhuma","","","Sim","Não",""
"81","2019/04/08 1:05:34 PM GMT-3","1981-05-29","Feminino","Ensino Fundamental completo",1.68,73,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Noite",3,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Apenas quando durmo pouco","Nenhuma","","","Sim","Não",""
"82","2019/04/08 1:33:47 PM GMT-3","1992-11-04","Feminino","Ensino Superior completo",1.64,63,"6 a 8 horas","2","Todos os dias, em 1 ou 2 refeições","Todos os dias, em todas as refeições","Não","",NA,"","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Não","",""
"83","2019/04/08 1:52:48 PM GMT-3","1982-03-04","Masculino","Ensino Superior incompleto",1.75,89,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","Nenhuma","","","Não","",""
"84","2019/04/08 1:57:32 PM GMT-3","1996-11-04","Masculino","Ensino Superior incompleto",1.88,107,"6 a 8 horas","Nenhuma","Todos os dias, em 1 ou 2 refeições","Todos os dias, em 1 ou 2 refeições","Sim","Noite",3,"Notas variam entre B e C (B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Não","","","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Não","",""
"85","2019/04/08 1:59:10 PM GMT-3","1986-03-02","Feminino","Ensino Superior completo",1.62,52,"6 a 8 horas","2","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Sim","Tarde",25,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Assalariado(a)","Regular, posso performar melhor","Apenas quando durmo pouco","Nenhuma","","","Não","",""
"86","2019/04/08 2:00:11 PM GMT-3","2019-04-22","Masculino","Ensino Superior completo",1.8,80,"Menos de 6 horas","6","Alguns dias na semana","Todos os dias, em todas as refeições","Não","",NA,"","Sim","Empresário(a)","Regular, posso performar melhor","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Não","",""
"87","2019/04/08 2:20:24 PM GMT-3","1997-11-22","Prefiro não dizer","Ensino Superior incompleto",1.84,78,"6 a 8 horas","2","Nunca","Nunca","Sim","Noite",10,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Sim","Estagiário(a)","Bom","Apenas quando durmo pouco","Nenhuma","","","Sim","Sim","Não sei"
